*******************************************************************************
 Revised: July 31, 2013                  Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug 31 13:58:33 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Moon (301)                      {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jul-22 09:31:00.0000 TDB
Stop  time      : A.D. 2019-Sep-03 12:41:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458686.896527778, A.D. 2019-Jul-22 09:31:00.0000, -4.028871450661195E+05,  3.768748523232709E+03,  3.538672677890325E+04,  1.063251865896196E-02, -9.681295070371894E-01,  2.564856628398016E-02,  1.349119253061388E+00,  4.044557770103976E+05, -1.736833376909205E-02,
2458686.900000000, A.D. 2019-Jul-22 09:36:00.0000, -4.028838445510397E+05,  3.478309543442998E+03,  3.539441157644821E+04,  1.137091953805544E-02, -9.681302703467232E-01,  2.558341457331215E-02,  1.349101849849874E+00,  4.044505596588405E+05, -1.741401134224565E-02,
2458686.903472222, A.D. 2019-Jul-22 09:41:00.0000, -4.028803225118140E+05,  3.187870413755092E+03,  3.540207682598318E+04,  1.210934624306914E-02, -9.681305063520887E-01,  2.551824622207804E-02,  1.349084400924975E+00,  4.044453286027556E+05, -1.745969728181948E-02,
2458686.906944444, A.D. 2019-Jul-22 09:46:00.0000, -4.028765789407442E+05,  2.897431292366004E+03,  3.540972252252023E+04,  1.284779844446546E-02, -9.681302150148784E-01,  2.545306125846547E-02,  1.349066906278337E+00,  4.044400838396382E+05, -1.750539155409684E-02,
2458686.910416667, A.D. 2019-Jul-22 09:51:00.0000, -4.028726138302307E+05,  2.606992337484255E+03,  3.541734866107984E+04,  1.358627581266751E-02, -9.681293962968068E-01,  2.538785971066926E-02,  1.349049365901637E+00,  4.044348253669933E+05, -1.755109412532501E-02,
2458686.913888889, A.D. 2019-Jul-22 09:56:00.0000, -4.028684271727728E+05,  2.316553707329826E+03,  3.542495523669102E+04,  1.432477801805909E-02, -9.681280501597120E-01,  2.532264160689091E-02,  1.349031779786589E+00,  4.044295531823364E+05, -1.759680496171514E-02,
2458686.917361111, A.D. 2019-Jul-22 10:01:00.0000, -4.028640189609691E+05,  2.026115560134129E+03,  3.543254224439120E+04,  1.506330473098456E-02, -9.681261765655544E-01,  2.525740697533857E-02,  1.349014147924939E+00,  4.044242672831932E+05, -1.764252402944244E-02,
2458686.920833333, A.D. 2019-Jul-22 10:06:00.0000, -4.028593891875165E+05,  1.735678054139986E+03,  3.544010967922627E+04,  1.580185562174869E-02, -9.681237754764169E-01,  2.519215584422735E-02,  1.348996470308466E+00,  4.044189676670990E+05, -1.768825129464606E-02,
2458686.924305555, A.D. 2019-Jul-22 10:11:00.0000, -4.028545378452112E+05,  1.445241347601563E+03,  3.544765753625060E+04,  1.654043036061672E-02, -9.681208468545059E-01,  2.512688824177889E-02,  1.348978746928984E+00,  4.044136543316000E+05, -1.773398672342925E-02,
2458686.927777778, A.D. 2019-Jul-22 10:16:00.0000, -4.028494649269483E+05,  1.154805598784331E+03,  3.545518581052703E+04,  1.727902861781413E-02, -9.681173906621503E-01,  2.506160419622183E-02,  1.348960977778340E+00,  4.044083272742520E+05, -1.777973028185921E-02,
