*******************************************************************************
 Revised: 2019-Aug-30       Chandrayaan-2 Spacecraft / (Moon)              -152 

 PURPOSE
  The primary objective of ISRO's Chandrayaan-2 is to demonstrate the ability 
  to soft-land on the lunar surface and operate a robotic rover on the surface. 
  Scientific goals include studies of lunar topography, mineralogy, elemental 
  abundance, the lunar exosphere, and signatures of hydroxyl and water ice.

 BACKGROUND
  Chandrayaan-2 launched 2019-July-22 @ 09:13 UTC from Satish Dhawan Space 
  Centre on Sriharikota Island, India. Launch vehicle was a GSLV-MK3.

  Mission consists of an orbiter, a lander ("Vikram") and a rover ("Pragyan")

  After launch into Earth parking orbit (170 x 40400 km altitude), a series
  of maneuvers will progressively raise the apogee of the spacecraft until 
  a subsequent trans-lunar injection burn. Injection to lunar transfer orbit
  will occur 2019-Aug-14.
 
  It was inserted into an initial elliptic lunar orbit on Aug 20 
  (114 x 18072 km) and the first of a sequence of maneuvers executed,
  lowering apoapsis to 4412 km.

  The orbiter will then be placed in a 100 km circular polar orbit with a 
  series of engine burns. Subsequently, the lander will separate and touch 
  down at the predetermined site close to the lunar south pole. 

  Touchdown is to occur 2019-Sep-07 on a high plain between two craters, 
  Manzinus C and Simpelius N, about 70 degrees south of the equator.

  The orbiter mission covers 1 year, in a 100-km circular polar orbit.

  The six-wheeled Pragyan rover, whose name means "wisdom" in Sanskrit, will
  be deployed from a ramp after landing. It is solar-powered and capable of 
  traveling up to 500 meters on the lunar surface at a speed of 1 cm/s. 

  The lander/rover missions are planned for 14-15 days (1 lunar daylight
  interval).

 SPACECRAFT DETAILS
  Launch mass       : 3850 kg
  Lunar orbital mass: 2379 kg (solar arrays ~1000 W
  Lunar lander  mass: 1471 kg (solar arrays ~ 650 W)
  Rover mass        : 27 kg   (solar arrays ~  50 W)

 TRAJECTORY: 
  This is a merge of post-launch trajectory solutions fit to tracking data 
  through 2019-Aug-30 ~16:34 UTC, with a prediction thereafter.

  Trajectory name                             Start (TDB)        Stop (TDB)
  ----------------------------------------- ----------------- -----------------
  ch2o_spk_190722-[190810_od0*]_v*_dsn.V0.* 2019-Jul-22 09:31 2019-Sep-03 12:45
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug 31 13:58:25 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Chandrayaan-2 (spacecraft) (-152) {source: chandrayaan-2_merged}
Center body name: Moon (301)                      {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jul-22 09:31:00.0000 TDB
Stop  time      : A.D. 2019-Sep-03 12:41:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458686.896527778, A.D. 2019-Jul-22 09:31:00.0000, -4.089463376832422E+05,  1.368985475647654E+03,  3.620342685153688E+04,  3.336577633736978E+00, -1.079859930196180E+01,  1.513499985791715E-01,  1.369440758268533E+00,  4.105480110067073E+05, -3.346222375656070E+00,
2458686.900000000, A.D. 2019-Jul-22 09:36:00.0000, -4.076015749759085E+05, -1.669363715496062E+03,  3.619924774539769E+04,  5.469591739585212E+00, -9.329634693567842E+00, -1.674517631876409E-01,  1.364975156479442E+00,  4.092092572699064E+05, -5.424855968717018E+00,
2458686.903472222, A.D. 2019-Jul-22 09:41:00.0000, -4.057677485666919E+05, -4.195785505368518E+03,  3.611308242773921E+04,  6.598054621497443E+00, -7.518675304330393E+00, -3.886757003243262E-01,  1.358917464851117E+00,  4.073932070068447E+05, -6.528747292986592E+00,
2458686.906944444, A.D. 2019-Jul-22 09:46:00.0000, -4.037179018999910E+05, -6.203924115482823E+03,  3.597580476569910E+04,  6.975666975484875E+00, -5.925448784049793E+00, -5.131531273493435E-01,  1.352152540055034E+00,  4.053651335740422E+05, -6.902176497384326E+00,
2458686.910416667, A.D. 2019-Jul-22 09:51:00.0000, -4.016212134443421E+05, -7.786445286574191E+03,  3.581142162851691E+04,  6.959122248921376E+00, -4.680933344707526E+00, -5.749541770493911E-01,  1.345230067322434E+00,  4.032898284580978E+05, -6.891007461847745E+00,
2458686.913888889, A.D. 2019-Jul-22 09:56:00.0000, -3.995596317685253E+05, -9.042567474338699E+03,  3.563432632305726E+04,  6.766864677982301E+00, -3.736755362056242E+00, -6.014207015160644E-01,  1.338417245064271E+00,  4.012473957274061E+05, -6.707600713823137E+00,
2458686.917361111, A.D. 2019-Jul-22 10:01:00.0000, -3.975677497395963E+05, -1.005088090561901E+04,  3.545247063592973E+04,  6.506225223065487E+00, -3.016974855940695E+00, -6.086355154429743E-01,  1.331827547667134E+00,  3.992718541472422E+05, -6.456552527364952E+00,
2458686.920833333, A.D. 2019-Jul-22 10:06:00.0000, -3.956577279897064E+05, -1.086890916699568E+04,  3.527018009012871E+04,  6.226421462921076E+00, -2.459367843985608E+00, -6.053719688481649E-01,  1.325501439229494E+00,  3.973753345491476E+05, -6.185972023082252E+00,
2458686.924305555, A.D. 2019-Jul-22 10:11:00.0000, -3.938315888120105E+05, -1.153820853223578E+04,  3.508981189129986E+04,  5.949305938117487E+00, -2.019281040316280E+00, -5.963964488339517E-01,  1.319446269471219E+00,  3.955600403237070E+05, -5.917314502991570E+00,
2458686.927777778, A.D. 2019-Jul-22 10:16:00.0000, -3.920869357938203E+05, -1.208909274616559E+04,  3.491264613521114E+04,  5.684094979301299E+00, -1.665652641017122E+00, -5.843453465070728E-01,  1.313654874750579E+00,  3.938238238651584E+05, -5.659698731181013E+00,
2458686.931250000, A.D. 2019-Jul-22 10:21:00.0000, -3.904203716676672E+05, -1.254447174163750E+04,  3.473865709945503E+04,  5.434157386211578E+00, -1.377061033896888E+00, -5.709436071925136E-01,  1.308116604739221E+00,  3.921634922853855E+05, -5.416529328147357E+00,
